101|2|Respuesta Corta|Recordar|Que palabra clave se usa en muchos lenguajes para definir una funcion o metodo?|function, def, void, static, etc. (depende del lenguaje ensenado)
102|4|Verdadero/Falso|Recordar|El operador '==' se usa para asignar un valor a una variable.|Falso (se usa para comparacion, '=' es para asignacion)
104|6|Composicion/Ensayo|Entender|Describe que es una variable y por que son utiles en programacion.|Espacio de memoria con nombre para guardar datos que pueden cambiar; permiten manipular informacion.
105|7|Respuesta Corta|Aplicar|Si x=10 y y=3, cual es el resultado de la operacion x % y (modulo)?|1
106|8|Verdadero/Falso|Aplicar|El siguiente codigo imprimira 'Hola' 5 veces: for(int i=1; i<=5; i++){ cout << "Hola"; }|Verdadero
107|10|Composicion/Ensayo|Analizar|Dado el codigo: if(a > 5){ print "Mayor"; } else { print "Menor o Igual"; }, que se imprime si 'a' vale 5? Explica por que.|Se imprime "Menor o Igual", porque la condicion a > 5 no es verdadera (5 no es mayor que 5).
108|5|Respuesta Corta|Entender|Que diferencia hay entre un argumento y un parametro en una funcion?|Parametro es la variable en la definicion de la funcion, argumento es el valor pasado al llamar la funcion.
109|12|Composicion/Ensayo|Crear|Disena (en pseudocodigo) una funcion simple que reciba dos numeros y devuelva el mayor de ellos.|FUNCION encontrarMayor(num1, num2): SI num1 > num2 ENTONCES DEVOLVER num1 SINO DEVOLVER num2 FIN SI FIN FUNCION
201|3|Respuesta Corta|Recordar|Cual es el nombre del algoritmo de ordenamiento que compara repetidamente pares adyacentes y los intercambia si estan en orden incorrecto?|Bubble Sort (Ordenamiento Burbuja)
202|5|Verdadero/Falso|Recordar|Un arbol binario de busqueda siempre esta balanceado.|Falso
204|7|Composicion/Ensayo|Entender|Explica que significa que un algoritmo tenga una complejidad temporal de O(n).|El tiempo de ejecucion crece linealmente con el tamano de la entrada 'n'.
205|8|Respuesta Corta|Aplicar|En una lista enlazada simple, que necesitas modificar para insertar un nuevo nodo al principio?|El puntero 'head' o 'inicio' de la lista.
206|10|Verdadero/Falso|Aplicar|Si buscas el numero 5 en el arreglo ordenado [2, 4, 6, 8, 10] usando busqueda binaria, lo encontraras en la primera comparacion.|Falso (La primera comparacion seria con 6)
207|12|Composicion/Ensayo|Analizar|En que situacion podria ser preferible usar Merge Sort sobre Quick Sort, a pesar de que Quick Sort suele ser mas rapido en promedio?|Cuando la estabilidad del ordenamiento es importante o se requiere garantia de rendimiento O(n log n) en el peor caso.
208|5|Respuesta Corta|Recordar|Que estructura de datos se usa comunmente para representar conexiones en redes sociales o mapas?|Grafo (Graph)
209|15|Composicion/Ensayo|Evaluar|Considerando memoria y tiempo, que estructura (Array, Lista Enlazada, Hash Table) elegirias para implementar un diccionario donde necesitas busquedas muy rapidas por clave? Justifica.|Hash Table (Tabla Hash), porque ofrece busqueda promedio O(1) si las colisiones se manejan bien, aunque puede usar mas memoria.
301|2|Respuesta Corta|Recordar|Que comando SQL se usa para anadir nuevas filas a una tabla?|INSERT INTO
302|4|Verdadero/Falso|Recordar|La clausula 'GROUP BY' en SQL se usa para ordenar los resultados.|Falso (se usa para agrupar filas; ORDER BY ordena)
304|7|Composicion/Ensayo|Entender|Que es una Foreign Key (Clave Foranea) y cual es su proposito?|Columna(s) en una tabla que referencia(n) la Clave Primaria de otra tabla; mantener integridad referencial.
305|6|Respuesta Corta|Aplicar|Escribe la clausula SQL para eliminar un registro de la tabla 'Productos' donde el ID es 50.|DELETE FROM Productos WHERE ID = 50;
306|8|Verdadero/Falso|Aplicar|Si haces un LEFT JOIN entre TablaA y TablaB (A LEFT JOIN B), siempre obtendras todas las filas de TablaB.|Falso (Obtendras todas las filas de TablaA)
307|10|Composicion/Ensayo|Analizar|Explica la diferencia entre la Primera Forma Normal (1NF) y la Segunda Forma Normal (2NF) en la normalizacion de bases de datos.|1NF: Elimina grupos repetitivos, cada celda valor atomico. 2NF: Cumple 1NF y todos los atributos no clave dependen completamente de la clave primaria completa (no de parte de ella).
309|12|Composicion/Ensayo|Evaluar|Por que podria ser problematico usar SELECT * en una aplicacion en produccion en lugar de especificar las columnas necesarias?|Consume mas ancho de banda, puede exponer datos sensibles, la aplicacion puede fallar si se anaden/quitan columnas, menos eficiente para el SGBD.
310|6|Respuesta Corta|Entender|Que hace la funcion de agregacion COUNT() en SQL?|Cuenta el numero de filas que cumplen una condicion (o todas las filas).
